timestamp,px,py,pz,qx,qy,qz,qw,features,clones
1403715886.734057903,0.001095432,0.000268722,-0.000745565,0.827971844,0.009240274,0.560453208,0.016414746,0,0
1403715886.784058094,0.001595574,0.000321461,-0.001166722,0.827680208,0.007625322,0.560937935,0.015361017,200,1
1403715886.834058046,0.002041686,0.000184882,-0.001650525,0.827421229,0.006015774,0.561366835,0.014324694,200,2
1403715886.884057999,0.002400308,-0.000217309,-0.002172480,0.827150739,0.004395075,0.561805187,0.013314251,200,3
1403715886.934057951,0.002644451,-0.000987155,-0.002755145,0.826901279,0.002804917,0.562206463,0.012259687,200,4
1403715886.984057903,0.012829783,0.011195187,-0.003284581,0.825618996,0.000270128,0.564153927,0.009140416,199,5
1403715887.034058094,0.014353147,0.011597856,-0.004260027,0.825310702,-0.001286659,0.564620107,0.008045095,199,6
1403715887.084058046,0.015529574,0.011189318,-0.005391916,0.825003803,-0.002831173,0.565077571,0.006931700,198,7
1403715887.134057999,0.016367476,0.009887504,-0.006684877,0.824702380,-0.004381024,0.565519727,0.005850611,198,8
1403715887.184057951,0.016817029,0.007588418,-0.008159866,0.824397644,-0.005952928,0.565959950,0.004735333,198,9
1403715887.234057903,0.016830694,0.004227473,-0.009822681,0.824099948,-0.007532203,0.566382628,0.003641350,198,10
1403715887.284058094,0.016396694,-0.000274641,-0.011646080,0.823781351,-0.009086822,0.566829202,0.002524248,198,11
1403715887.334058046,0.001216439,0.001201453,-0.001693615,0.827543454,0.009436675,0.561063276,0.017052290,122,11
1403715887.384057999,0.002325205,-0.000617066,0.000483294,0.827766052,0.010450493,0.560690748,0.017889540,122,11
1403715887.434057951,0.002469480,-0.001227309,0.001076416,0.827811982,0.010590480,0.560620303,0.017889654,150,11
1403715887.484057903,0.002368942,-0.001327596,0.001342683,0.827820943,0.010583292,0.560607673,0.017875072,197,11
1403715887.534058094,0.002237637,-0.001432685,0.001621003,0.827839779,0.010611920,0.560579095,0.017881999,197,11
1403715887.584058046,0.002062185,-0.001537006,0.001916591,0.827853149,0.010621041,0.560559620,0.017868104,197,11
1403715887.634057999,0.001873178,-0.001636847,0.002227198,0.827853875,0.010634948,0.560558841,0.017850611,197,11
1403715887.684057951,0.001666232,-0.001718189,0.002553100,0.827876628,0.010664663,0.560524458,0.017857379,196,11
1403715887.734057903,0.001433697,-0.001763789,0.002912404,0.827882040,0.010668909,0.560516640,0.017849349,196,11
1403715887.784058094,0.001181260,-0.001793117,0.003270270,0.827896617,0.010687271,0.560495538,0.017824892,196,11
1403715887.834058046,0.000927134,-0.001847447,0.003605760,0.827899024,0.010688442,0.560492117,0.017819929,196,11
1403715887.884057999,0.000650247,-0.001873475,0.003953366,0.827910232,0.010712737,0.560475952,0.017793029,196,11
1403715887.934057951,0.002815487,-0.001799674,0.001582705,0.828904980,0.010171407,0.559037554,0.017032033,121,11
1403715887.984057903,0.002189467,-0.000729401,0.000143048,0.829686114,0.011562257,0.557775206,0.019341304,85,11
1403715888.034058094,0.002091194,-0.000721101,-0.000167278,0.830003411,0.011782521,0.557286834,0.019669644,101,11
1403715888.084058046,0.002020646,-0.000683322,-0.000364510,0.830064969,0.011903130,0.557186238,0.019848390,146,11
1403715888.134057999,0.001879476,-0.000781608,-0.000772081,0.830677913,0.012036112,0.556264225,0.019986237,146,11
1403715888.184057951,0.001891266,-0.000749678,-0.000736119,0.830863402,0.012257803,0.555970200,0.020319687,146,11
